Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl
165234,Q3,Q03,F,22-25,false,false,false
165436,S1200,Q12,M,26-30,true,true,false
165638,S900,Q07,M,26-30,true,false,false
165840,Q3,Q03,M,31-35,false,false,false
165941,S1200,Q09,F,26-30,true,false,false
166438,S500,Q04,M,31-35,true,false,false
166640,S900,Q10,M,22-25,false,false,false
167036,S500,Q04,F,26-30,true,true,false
167238,S900,Q08,F,31-35,true,false,false
167440,S1200,Q13,F,26-30,true,true,false
167743,Q1,Q01,F,26-30,false,false,false
168038,S900,Q08,M,26-30,false,false,false
168139,S500,Q07,M,22-25,true,false,false
168240,S900,Q08,M,26-30,true,false,false
168341,S500,Q05,M,31-35,true,false,false
168745,S900,Q11,F,22-25,true,false,false
168947,S1200,Q12,F,26-30,true,false,false
169040,S900,Q08,M,22-25,true,true,true
169141,Q3,Q03,M,22-25,false,false,false
169343,Q2,Q02,F,31-35,false,true,false
169444,S500,Q06,F,26-30,true,true,false
169545,S1200,Q13,M,22-25,true,false,false
169747,S900,Q10,F,26-30,false,true,false
169949,S900,Q11,M,26-30,true,false,false
170631,S900,Q04,F,31-35,true,false,false
170934,S500,Q06,F,26-30,false,false,false
171128,S1200,Q13,F,36+,false,false,false
171330,S900,Q09,M,26-30,true,false,false
171431,S500,Q06,F,26-30,false,false,false
171532,S900,Q08,F,31-35,true,false,false
171633,S500,Q05,M,26-30,true,true,false
171734,S1200,Q13,F,26-30,false,false,false
172029,S500,Q06,M,26-30,true,false,false
172130,S500,Q05,M,26-30,true,true,false
172332,Q1,Q02,F,26-30,true,false,false
172433,S900,Q11,M,22-25,true,false,false
172534,S500,Q04,F,22-25,true,false,false
172635,S1200,Q12,M,31-35,false,false,false
172938,S500,Q04,F,31-35,true,false,false
173132,S500,Q06,M,31-35,false,false,false
173233,S900,Q07,M,26-30,false,false,false
173334,S500,Q04,M,26-30,true,true,false
173435,S500,Q05,F,26-30,true,false,false
173536,S500,Q06,F,31-35,true,false,false
173637,S900,Q09,F,22-25,true,false,false
173738,S900,Q11,M,31-35,true,false,false
173839,S900,Q11,F,22-25,true,false,false
173940,S500,Q05,F,26-30,true,false,false
