Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,DDisc_AUC_200,DDisc_AUC_40K
140117,S500,Q04,F,26-30,true,true,true,0.1037125,0.25677103
140319,S900,Q08,F,36+,true,false,false,0.3755875,0.41731793
140824,Q3,Q04,M,31-35,true,false,false,0.6460302,0.9609377
140925,S500,Q04,F,22-25,true,false,false,0.12793125,0.13242209
141119,S900,Q09,M,26-30,true,false,false,0.43912917,0.22851583
141422,S500,Q06,F,31-35,true,false,false,0.6037125,0.90247416
141826,S500,Q04,F,26-30,true,false,false,0.022983333,0.015625209
143224,S1200,Q12,F,26-30,true,false,false,0.016603125,0.038541876
143325,Q1,Q01,F,31-35,true,false,false,0.32780105,0.34765646
143830,S1200,Q06,F,26-30,true,false,false,0.22675937,0.43346375
144125,S900,Q12,F,31-35,true,false,false,0.41569167,0.2548179
144428,S900,Q02,M,22-25,true,false,false,0.28756666,0.4903648
144731,S900,Q10,F,26-30,true,false,false,0.039129168,0.4372398
144832,S500,Q06,F,22-25,true,false,false,0.13626458,0.5628908
144933,S1200,Q12,M,26-30,true,false,false,0.3568375,0.61979187
145127,S900,Q08,M,22-25,true,false,false,0.08509271,0.52291685
145632,S1200,Q08,M,26-30,true,false,false,0.07324375,0.37708354
145834,S500,Q06,F,26-30,true,true,false,0.19603021,0.19570333
146129,MEG2,Q08,M,22-25,true,true,false,0.22897291,0.8406252
146331,S500,Q05,F,26-30,true,false,false,0.015691666,0.015625209
146432,S500,Q06,M,31-35,true,true,false,0.23704584,0.34713563
146533,S900,Q12,M,26-30,true,false,false,0.043165624,0.16914083
146735,S1200,Q12,F,31-35,true,true,false,0.04668125,0.07994813
146836,S1200,Q11,M,26-30,true,false,false,0.16204584,0.4703127
146937,S900,Q08,F,31-35,true,true,false,0.46712396,0.7437502
147030,S500,Q05,M,26-30,true,false,false,0.35423332,0.8078127
147636,S1200,Q10,F,22-25,true,false,false,0.11061354,0.37148458
147737,S500,Q06,F,31-35,true,false,false,0.2611344,0.6765627
148032,Q3,Q03,F,31-35,true,false,false,0.05449375,0.3369794
148133,S900,Q10,F,26-30,true,true,false,0.1863948,0.34140646
148335,Q3,Q04,F,31-35,true,false,false,0.35110834,0.9031252
148840,S500,Q04,F,22-25,true,false,false,0.054623958,0.36184916
148941,S500,Q07,M,26-30,true,false,false,0.24785313,0.65546894
149236,S900,Q08,F,22-25,true,false,false,0.94616044,0.88059914
149337,Q1,Q02,M,31-35,true,false,false,0.27793124,0.51015645
149539,Q2,Q02,M,22-25,true,false,false,0.4784521,0.9031252
149741,S500,Q05,M,26-30,true,false,true,0.3132177,0.52981794
149842,S900,Q10,F,31-35,true,false,false,0.2755875,0.89765644
150625,S500,Q04,M,26-30,true,false,false,0.3378271,0.8125002
150726,S500,Q05,M,22-25,true,false,false,0.10735834,0.28072938
150928,S900,Q11,M,22-25,true,false,false,0.121551044,0.22356792
151223,Q2,Q02,F,26-30,true,false,false,0.30280104,0.8234377
151324,S1200,Q09,M,22-25,true,false,false,0.41048333,0.30013043
151425,S900,Q09,F,26-30,true,false,false,0.2318375,0.27369812
151526,Q3,Q03,M,26-30,true,false,false,0.23040521,0.43828145
151627,Q2,Q02,F,26-30,true,false,false,0.192775,0.8093752
151728,S500,Q04,M,31-35,true,false,false,0.50084794,0.3670575
151829,S900,Q10,F,31-35,true,false,false,0.1834,0.5704429
151930,S1200,Q12,M,31-35,true,false,false,0.42923334,0.6658856
152225,S1200,Q10,M,31-35,true,false,false,0.20215,0.8059898
152427,S1200,Q13,F,31-35,true,false,false,0.08743646,0.34140646
152831,S500,Q06,M,26-30,true,false,false,0.37936354,0.9492189
153025,Q3,Q04,F,22-25,true,false,false,0.09316563,0.10703146
153126,S1200,Q13,F,26-30,true,false,false,0.18248855,0.044140834
153227,S900,Q12,F,31-35,true,false,false,0.21673334,0.7997398
153429,Q1,Q02,M,31-35,true,false,false,0.26438957,0.6984377
154229,S900,Q10,F,22-25,true,false,false,0.1224625,0.28307313
154431,Q3,Q03,F,26-30,true,false,false,0.20748854,0.34570333
154532,S900,Q09,M,26-30,true,false,false,0.10553542,0.6367189
154734,S500,Q06,M,31-35,true,false,false,0.04030104,0.26822937
154835,S500,Q07,F,31-35,true,false,false,0.51556146,0.7753908
154936,S500,Q04,M,26-30,true,false,false,0.084571876,0.434245
155635,S500,Q04,F,26-30,true,false,false,0.30488437,0.19987
155938,S900,Q08,M,26-30,true,true,false,0.8844417,0.9500002
156031,S900,Q11,F,26-30,true,false,false,0.64993644,0.9437502
156233,Q3,Q03,F,22-25,true,false,false,0.040952083,0.07682312
156334,MEG2,Q03,F,26-30,true,true,true,0.24173333,0.8531252
156435,S900,Q11,M,22-25,true,false,false,0.1442073,0.63398457
156536,S900,Q12,M,22-25,true,false,false,0.8741552,0.9843752
156637,Q1,Q01,M,31-35,true,false,false,0.19954583,0.2901044
157336,Q2,Q02,F,31-35,true,true,false,0.18157709,0.53645855
157437,S500,Q04,F,26-30,true,false,false,0.22116041,0.4934898
157942,S900,Q07,F,36+,true,false,false,0.1537125,0.43945333
158035,Q2,Q02,F,26-30,true,true,false,0.14186354,0.3591148
158136,S500,Q04,M,31-35,true,true,false,0.12975417,0.8093752
158338,S900,Q08,M,22-25,true,false,false,0.34798333,0.5296877
158540,Q2,Q02,M,31-35,true,false,false,0.12897292,0.4292971
158843,S900,Q08,M,26-30,true,false,false,0.41178542,0.87213564
159138,S500,Q04,M,31-35,true,false,false,0.08444167,0.6136721
159239,Q1,Q01,F,31-35,true,true,false,0.11412916,0.042578332
159340,Q3,Q04,M,26-30,true,false,false,0.31660312,0.7437502
159441,S500,Q06,F,26-30,true,false,false,0.18235834,0.5916669
159744,S900,Q11,M,31-35,true,false,false,0.097202085,0.31041688
160123,Q3,Q03,M,31-35,true,false,false,0.0209,0.071354374
160830,S500,Q06,F,26-30,true,false,false,0.29642084,0.6609377
161327,Q3,Q03,F,26-30,true,false,false,0.093946874,0.08828146
161630,S500,Q04,F,26-30,true,false,false,0.20397292,0.3484377
161731,Q1,Q01,F,31-35,true,false,false,0.3974625,0.3375002
161832,S1200,Q12,M,26-30,true,false,false,0.8620458,0.9434898
162026,S500,Q06,F,31-35,true,false,true,0.070769794,0.08502625
162228,S500,Q07,M,22-25,true,false,false,0.5630875,0.850521
162329,Q1,Q01,F,26-30,true,false,false,0.017123958,0.045703333
162733,Q3,Q04,F,26-30,true,false,false,0.2380875,0.631771
162935,S900,Q09,M,22-25,true,true,true,0.17194167,0.33984396
163129,Q3,Q04,M,26-30,true,false,false,0.27311355,0.8470054
163331,S500,Q06,M,31-35,true,false,false,0.13965,0.3449221
163836,S500,Q06,F,31-35,true,false,false,0.14694166,0.089062706
164030,S500,Q05,M,31-35,true,false,false,0.2880875,0.7468752
164131,S500,Q04,M,26-30,true,true,false,0.08873854,0.062239792
164636,S900,Q09,M,22-25,true,true,true,0.034441665,0.030208541
164939,S500,Q06,F,26-30,true,false,false,0.12506667,0.18385437
165436,S1200,Q12,M,26-30,true,true,false,0.13313958,0.32226583
165638,S900,Q07,M,26-30,true,false,false,0.8195979,0.7656252
165941,S1200,Q09,F,26-30,true,false,false,0.16256666,0.3682294
166438,S500,Q04,M,31-35,true,false,false,0.034571875,0.06484396
167036,S500,Q04,F,26-30,true,true,false,0.3285823,0.8453127
167238,S900,Q08,F,31-35,true,false,false,0.081316665,0.42421895
167440,S1200,Q13,F,26-30,true,true,false,0.15970208,0.62734395
168139,S500,Q07,M,22-25,true,false,false,0.15918125,0.29348978
