tractID,Unnamed: 0,nodeID,dki_fa,dki_md,dki_mk,dki_awf,subjectID
UNC_L,1549.5,49.5,0.43427877831712713,0.000921670848845753,0.9089382962217896,0.31388743651565926,149842
UNC_R,1449.5,49.5,0.4845948651117899,0.000891972710091178,0.9776012456326061,0.347392328264728,149842
ARC_L,1349.5,49.5,0.5502665996549568,0.000815790028590172,1.0523823892112683,0.4231323020558315,150019
ARC_R,1249.5,49.5,0.5035992025552545,0.0008637981473639079,1.0634036383370944,0.40898130360358026,150019
ATR_L,149.5,49.5,0.472683827259321,0.000880831816100222,1.0692165332315102,0.37621412562208717,150019
ATR_R,49.5,49.5,0.4420063660310904,0.000931581173897707,1.0504357943514475,0.36116139065860586,150019
AntFrontal,1649.5,49.5,0.5778460147031731,0.000898784931264239,1.0750546956370348,0.42373454973655195,150019
CGC_L,349.5,49.5,0.5593665565194128,0.000866984741198908,1.0768707894655307,0.4172859334985708,150019
CGC_R,249.5,49.5,0.4981414773421502,0.000870725442603013,1.0678109546511683,0.39545169594551444,150019
CST_L,549.5,49.5,0.5757338671007578,0.0008562309450398111,1.1165210879237082,0.4249929841267741,150019
CST_R,449.5,49.5,0.5723490810321672,0.0008735315730592309,1.0974730936062036,0.42361284439763625,150019
IFO_L,749.5,49.5,0.5521833465923107,0.000884016766118992,1.0306668199412665,0.3927602188383465,150019
IFO_R,649.5,49.5,0.5401156301776531,0.0008926468557481811,1.031005813536583,0.39395838008521145,150019
ILF_L,949.5,49.5,0.5103070886025194,0.000917813839697321,0.9796179444942511,0.3713659975882262,150019
ILF_R,849.5,49.5,0.49885305947580655,0.000921683375708484,1.003225500699687,0.3765623771642213,150019
Motor,1749.5,49.5,0.5799049613058289,0.0009059970698276521,1.0429428139890322,0.42209707520012574,150019
Occipital,1849.5,49.5,0.6578139368843129,0.000896438294649854,1.0568410665713277,0.44669708972572536,150019
Orbital,1949.5,49.5,0.5813431006172634,0.0008498398990251261,1.1345427443529505,0.43116057510495354,150019
PostParietal,2049.5,49.5,0.5636399018421746,0.000866092874410684,1.0443204693360988,0.4238086164797036,150019
SLF_L,1149.5,49.5,0.49867858685612093,0.000857734850872459,1.0522938241484163,0.4068273420414082,150019
SLF_R,1049.5,49.5,0.5301222195952753,0.000832725987679368,1.0631629750229745,0.420207489230765,150019
SupFrontal,2149.5,49.5,0.5734475432925631,0.0008873642863870281,1.0493176796959616,0.410002154578656,150019
